"weapons/sniper_fire.wav" "ambience/rifle1.wav"
"weapons/uzi/fire_both1.wav" "custom_monsters/guns/p90/p90-1.ogg"
"weapons/uzi/fire_both2.wav" "custom_monsters/guns/p90/p90-1.ogg"
"weapons/hks1.wav" "ambience/biggun2.wav"
"weapons/hks2.wav" "ambience/biggun2.wav"
"weapons/hks3.wav" "ambience/biggun2.wav"
"weapons/desert_eagle_fire.wav" "custom_monsters/guns/taurus/tau_fire.ogg"
"weapons/sbarrel1.wav" "custom_monsters/guns/aomshotgun/sbarrel1.ogg"

"bodyguard/ashestoashes.ogg" "st_allies/sobrobo/sr_idle1.ogg"
"bodyguard/babysitter.ogg" "st_allies/sobrobo/sr_idle2.ogg"
"bodyguard/backoff.ogg" "st_allies/sobrobo/sr_bip1.ogg"
"bodyguard/bringiton.ogg" "st_allies/sobrobo/sr_bip2.ogg"
"bodyguard/getlost.ogg" "buttons/button2.wav"
"bodyguard/getshitoverwith.ogg" "st_allies/sobrobo/sr_idle3.ogg"
"bodyguard/happendhere.ogg" "st_allies/sobrobo/sr_idle4.ogg"
"bodyguard/hellaimingat.ogg" "st_allies/sobrobo/sr_bip2.ogg"
"bodyguard/hellareyoudoing.ogg" "st_allies/sobrobo/sr_bip2.ogg"
"bodyguard/hellhappenedyou.ogg" "st_allies/sobrobo/sr_idle5.ogg"
"bodyguard/hello.ogg" "st_allies/sobrobo/sr_bip4.ogg"
"bodyguard/heyoverhere.ogg" "st_allies/sobrobo/sr_bip1.ogg"
"bodyguard/imbusy.ogg" "buttons/button2.wav"
"bodyguard/justafleshwound.ogg" "st_allies/sobrobo/sr_bip3.ogg"
"bodyguard/knockitoff.ogg" "st_allies/sobrobo/sr_bip2.ogg"
"bodyguard/laterfellas.ogg" "st_allies/sobrobo/sr_idle2.ogg"
"bodyguard/layeggs.ogg" "st_allies/sobrobo/sr_idle3.ogg"
"bodyguard/letsmove.ogg" "buttons/button3.wav"
"bodyguard/looklikeshit.ogg" "st_allies/sobrobo/sr_idle4.ogg"
"bodyguard/mondays.ogg" "st_allies/sobrobo/sr_idle5.ogg"
"bodyguard/nicesuit.ogg" "st_allies/sobrobo/sr_bip4.ogg"
"bodyguard/notaninjury.ogg" "st_allies/sobrobo/sr_bip2.ogg"
"bodyguard/onassignment.ogg" "st_allies/sobrobo/sr_idle1.ogg"
"bodyguard/pain1.ogg"  "debris/metal1.wav"
"bodyguard/pain2.ogg" "debris/metal3.wav"
"bodyguard/pain3.ogg" "debris/metal6.wav"
"bodyguard/pain4.ogg  "debris/metal7.wav"
"bodyguard/palimworking.ogg" "buttons/button2.wav"
"bodyguard/pathetic.ogg" "st_allies/sobrobo/sr_idle3.ogg"
"bodyguard/primalroar.ogg" "st_allies/sobrobo/sr_bip4.ogg"
"bodyguard/pumpsomelead.ogg" "st_allies/sobrobo/sr_idle3.ogg"
"bodyguard/seeyalater.ogg" "st_allies/sobrobo/sr_bip1.ogg"
"bodyguard/shootface.ogg" "st_allies/sobrobo/sr_idle4.ogg"
"bodyguard/shownupdrunk.ogg" "st_allies/sobrobo/sr_idle1.ogg"
"bodyguard/someonescoming.ogg" "st_allies/sobrobo/sr_idle2.ogg"
"bodyguard/stop1.wav" "buttons/button3.wav"
"bodyguard/stop2.wav" "buttons/button3.wav"
"bodyguard/stop3.wav" "buttons/button3.wav"
"bodyguard/waitinrighthere.ogg" "buttons/button3.wav"
"bodyguard/watchyourfire.ogg" "st_allies/sobrobo/sr_idle2.ogg"
"bodyguard/whathelljoke.ogg" "st_allies/sobrobo/sr_idle5.ogg"
"bodyguard/whatsgoinon.ogg" "st_allies/sobrobo/sr_bip4.ogg"
"bodyguard/wounded1.ogg" "st_allies/sobrobo/sr_bip1.ogg"
"bodyguard/wounded2.ogg" "st_allies/sobrobo/sr_bip2.ogg"
"bodyguard/yougotit.ogg" "st_allies/sobrobo/sr_bip3.ogg"
